smiles,0,3,2,1,total,cluster
NCCN,93,144,120,70,427,0
CNC,164,99,23,28,314,0
N=C(N)N,93,42,18,19,172,0
NCCCN,24,51,39,23,137,0
NCCNCCN,21,45,15,13,94,0
CN,7,57,16,5,85,0
NCCCCN,10,41,23,11,85,0
NCCN(CCN)CCN,15,27,12,5,59,0
NCCCCCCN,14,15,12,13,54,0
CC(N)CN,17,19,11,6,53,0
CCN,4,23,9,5,41,0
CCNCC,20,14,4,0,38,0
CCN(CC)CC,18,5,7,7,37,0
CN(C)CCN(C)C,11,5,12,6,34,0
NCCNCCNCCN,6,7,11,6,30,0
CCCCN,10,8,4,0,22,0
NCCCN1CCN(CCCN)CC1,1,5,11,4,21,0
NCCCCCN,2,8,5,6,21,0
N=CN,3,17,0,0,20,0
CC(C)N,5,8,6,1,20,0
CC(C)(C)N,14,1,3,1,19,0
CNCCNC,2,12,4,1,19,0
CC(C)NC(C)C,9,2,4,3,18,0
CN(C)C,7,2,0,7,16,0
CCCN,1,7,4,1,13,0
NCCCNCCNCCCN,0,5,4,4,13,0
NCCCNCCN,0,8,1,2,11,0
CN(C)CCCN,1,7,1,2,11,0
NCCCNCCCN,1,6,2,1,10,0
C1CNCCN1,54,90,63,49,256,1
C1CN2CCN1CC2,27,37,27,22,113,1
CC1CNCCN1,2,12,15,9,38,1
NC1CCC(N)CC1,1,2,16,5,24,1
CN1CCNCC1,2,14,4,4,24,1
CN1CCN(C)CC1,1,6,13,3,23,1
NC1CCCCC1,5,10,6,1,22,1
NCCN1CCNCC1,4,6,10,2,22,1
C1CNCCNC1,2,8,5,5,20,1
C1CCNCC1,8,2,3,0,13,1
C1N2CN3CN1CN(C2)C3,8,2,1,1,12,1
C1CCNC1,6,3,2,0,11,1
NC1CCCCC1N,1,5,2,2,10,1
c1cc(-c2ccncc2)ccn1,72,6,16,23,117,2
c1c[nH]cn1,45,25,11,9,90,2
c1ccncc1,45,20,12,12,89,2
c1cc(CCCc2ccncc2)ccn1,16,8,4,13,41,2
Nc1ccncc1,29,1,2,3,35,2
Nc1ccccn1,20,0,0,3,23,2
CN(C)c1ccncc1,12,3,5,3,23,2
c1ccc2[nH]cnc2c1,19,0,0,2,21,2
Cc1ncc[nH]1,12,0,3,2,17,2
c1cn(CCCCn2ccnc2)cn1,7,0,1,6,14,2
C(=Cc1ccncc1)c1ccncc1,9,0,2,2,13,2
Nc1nc(N)nc(N)n1,8,0,2,2,12,2
c1cnc2c(c1)ccc1cccnc12,11,0,1,0,12,2
c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,9,0,1,1,11,2
c1c[nH]c(-c2ncc[nH]2)n1,10,0,0,0,10,2
CC(N)c1ccccc1,7,0,3,0,10,2
Nc1ccccc1,7,0,1,2,10,2
c1ccc(-c2ccccn2)nc1,9,1,0,0,10,2
